Statistik från Skolverket, http://www.skolverket.se

Grundskolan - Slutbetyg årskurs 9, samtliga elever
Valt läsår: 2009/10

Kommun;Kommun-kod;Län;Läns-kod;Typ av huvudman;Antal elever;Andel (%) som uppnått kunskapskraven i alla ämnen;Andel (%) behöriga till nationella program;Genomsnittligt meritvärde (16);
Göteborg;1480;Västra Götalands län;14;Enskild;1 132;78,3;92,8;228,0;
Götene;1471;Västra Götalands län;14;Samtliga;182;86,8;94,0;200,5;
Götene;1471;Västra Götalands län;14;Kommunal;182;86,8;94,0;200,5;
Habo;0643;Jönköpings län;06;Samtliga;128;80,5;89,8;211,2;
Habo;0643;Jönköpings län;06;Kommunal;128;80,5;89,8;211,2;
Hagfors;1783;Värmlands län;17;Samtliga;124;76,6;83,9;208,0;
Hagfors;1783;Värmlands län;17;Kommunal;124;76,6;83,9;208,0;
Hallsberg;1861;Örebro län;18;Samtliga;185;61,6;77,3;195,1;
Hallsberg;1861;Örebro län;18;Kommunal;185;61,6;77,3;195,1;
Hallstahammar;1961;Västmanlands län;19;Samtliga;197;67,0;81,2;201,9;
Hallstahammar;1961;Västmanlands län;19;Kommunal;197;67,0;81,2;201,9;
Halmstad;1380;Hallands län;13;Samtliga;1 124;80,1;90,3;209,0;
Halmstad;1380;Hallands län;13;Kommunal;1 041;79,2;89,7;208,4;
Halmstad;1380;Hallands län;13;Enskild;83;91,6;~100;217,3;
Hammarö;1761;Värmlands län;17;Samtliga;198;92,4;97,0;225,8;
Hammarö;1761;Värmlands län;17;Kommunal;198;92,4;97,0;225,8;
Haninge;0136;Stockholms län;01;Samtliga;912;65,0;80,5;196,5;
Haninge;0136;Stockholms län;01;Kommunal;815;63,3;79,3;194,6;
Haninge;0136;Stockholms län;01;Enskild;97;79,4;90,7;212,6;
Haparanda;2583;Norrbottens län;25;Samtliga;120;74,2;81,7;198,3;
Haparanda;2583;Norrbottens län;25;Kommunal;120;74,2;81,7;198,3;
Heby;0331;Uppsala län;03;Samtliga;179;70,9;90,5;195,5;
Heby;0331;Uppsala län;03;Kommunal;179;70,9;90,5;195,5;
Hedemora;2083;Dalarnas län;20;Samtliga;209;84,3;88,7;203,0;
Hedemora;2083;Dalarnas län;20;Kommunal;189;84,7;88,4;202,4;
Hedemora;2083;Dalarnas län;20;Enskild;20;80,0;~100;210,3;
Helsingborg;1283;Skåne län;12;Samtliga;1 510;75,9;87,2;209,4;
Helsingborg;1283;Skåne län;12;Kommunal;1 120;73,5;84,9;204,3;
Helsingborg;1283;Skåne län;12;Enskild;390;82,8;93,6;224,0;
Herrljunga;1466;Västra Götalands län;14;Samtliga;117;76,9;84,6;209,7;
Herrljunga;1466;Västra Götalands län;14;Kommunal;117;76,9;84,6;209,7;
Hjo;1497;Västra Götalands län;14;Samtliga;120;84,2;94,2;215,5;
Hjo;1497;Västra Götalands län;14;Kommunal;120;84,2;94,2;215,5;
Hofors;2104;Gävleborgs län;21;Samtliga;108;61,1;83,3;186,4;
Hofors;2104;Gävleborgs län;21;Kommunal;106;62,3;84,0;187,4;
Hofors;2104;Gävleborgs län;21;Enskild;..;.;..;..;
Huddinge;0126;Stockholms län;01;Samtliga;1 202;80,4;88,6;212,3;
Huddinge;0126;Stockholms län;01;Kommunal;1 108;79,5;88,2;211,3;
Huddinge;0126;Stockholms län;01;Enskild;94;90,4;93,6;223,4;
Hudiksvall;2184;Gävleborgs län;21;Samtliga;451;71,6;86,5;200,6;
Hudiksvall;2184;Gävleborgs län;21;Kommunal;444;71,6;86,5;200,6;
Hudiksvall;2184;Gävleborgs län;21;Enskild;..;.;.;.;
Hultsfred;0860;Kalmar län;08;Samtliga;174;78,7;86,2;199,5;
Hultsfred;0860;Kalmar län;08;Kommunal;174;78,7;86,2;199,5;
Hylte;1315;Hallands län;13;Samtliga;172;65,1;88,4;197,9;
Hylte;1315;Hallands län;13;Kommunal;162;63,0;87,7;195,8;
Hylte;1315;Hallands län;13;Enskild;10;100,0;100,0;231,0;
Håbo;0305;Uppsala län;03;Samtliga;292;71,9;88,4;207,9;
Håbo;0305;Uppsala län;03;Kommunal;270;69,6;87,4;204,2;
Håbo;0305;Uppsala län;03;Enskild;22;100,0;100,0;253,9;
Hällefors;1863;Örebro län;18;Samtliga;95;72,6;83,2;193,7;
Hällefors;1863;Örebro län;18;Kommunal;95;72,6;83,2;193,7;
Härjedalen;2361;Jämtlands län;23;Samtliga;114;71,9;79,8;205,6;
Härjedalen;2361;Jämtlands län;23;Kommunal;114;71,9;79,8;205,6;
Härnösand;2280;Västernorrlands län;22;Samtliga;306;81,7;93,1;204,7;
Härnösand;2280;Västernorrlands län;22;Kommunal;298;81,9;93,0;203,6;
Härnösand;2280;Västernorrlands län;22;Enskild;..;..;..;..;
Härryda;1401;Västra Götalands län;14;Samtliga;528;88,3;96,4;221,4;
Härryda;1401;Västra Götalands län;14;Kommunal;506;88,3;96,6;222,9;
Härryda;1401;Västra Götalands län;14;Enskild;22;86,4;~100;188,2;
Hässleholm;1293;Skåne län;12;Samtliga;648;74,7;87,0;201,0;
Hässleholm;1293;Skåne län;12;Kommunal;648;74,7;87,0;201,0;
Höganäs;1284;Skåne län;12;Samtliga;310;83,9;91,9;220,0;
Höganäs;1284;Skåne län;12;Kommunal;268;85,4;92,2;221,0;
Höganäs;1284;Skåne län;12;Enskild;42;73,8;~100;213,1;
Högsby;0821;Kalmar län;08;Samtliga;76;77,6;86,8;205,9;
Högsby;0821;Kalmar län;08;Kommunal;76;77,6;86,8;205,9;
Hörby;1266;Skåne län;12;Samtliga;186;69,4;88,7;200,3;
Hörby;1266;Skåne län;12;Kommunal;186;69,4;88,7;200,3;
Höör;1267;Skåne län;12;Samtliga;203;77,9;92,1;207,0;
Höör;1267;Skåne län;12;Kommunal;185;77,8;92,4;206,0;
Höör;1267;Skåne län;12;Enskild;18;..;..;..;
Jokkmokk;2510;Norrbottens län;25;Samtliga;67;85,1;~100;200,4;
Jokkmokk;2510;Norrbottens län;25;Kommunal;67;85,1;~100;200,4;
Järfälla;0123;Stockholms län;01;Samtliga;863;78,0;89,3;212,3;
Järfälla;0123;Stockholms län;01;Kommunal;685;76,1;88,2;209,0;
Järfälla;0123;Stockholms län;01;Enskild;178;85,4;93,8;224,9;
Jönköping;0680;Jönköpings län;06;Samtliga;1 572;79,0;88,0;209,1;
Jönköping;0680;Jönköpings län;06;Kommunal;1 397;78,1;87,5;208,3;
Jönköping;0680;Jönköpings län;06;Enskild;175;86,3;92,0;215,2;
Kalix;2514;Norrbottens län;25;Samtliga;180;68,3;85,0;198,2;
Kalix;2514;Norrbottens län;25;Kommunal;155;69,7;85,2;200,2;
Kalix;2514;Norrbottens län;25;Enskild;25;60,0;~100;186,6;
Kalmar;0880;Kalmar län;08;Samtliga;772;83,4;92,6;209,3;
Kalmar;0880;Kalmar län;08;Kommunal;680;82,1;92,2;206,2;
Kalmar;0880;Kalmar län;08;Enskild;92;97,0;~100;241,0;
Karlsborg;1446;Västra Götalands län;14;Samtliga;81;84,0;~100;208,1;
Karlsborg;1446;Västra Götalands län;14;Kommunal;81;84,0;~100;208,1;
Karlshamn;1082;Blekinge län;10;Samtliga;368;71,2;85,6;203,2;
Karlshamn;1082;Blekinge län;10;Kommunal;357;70,6;85,4;202,3;
Karlshamn;1082;Blekinge län;10;Enskild;11;90,9;~100;232,3;
Karlskoga;1883;Örebro län;18;Samtliga;367;77,1;85,8;196,8;
Karlskoga;1883;Örebro län;18;Kommunal;367;77,1;85,8;196,8;
Karlskrona;1080;Blekinge län;10;Samtliga;743;76,7;89,8;201,3;
Karlskrona;1080;Blekinge län;10;Kommunal;560;72,3;87,7;193,0;
Karlskrona;1080;Blekinge län;10;Enskild;183;90,2;96,2;226,6;
Karlstad;1780;Värmlands län;17;Samtliga;887;84,8;92,9;211,6;
Karlstad;1780;Värmlands län;17;Kommunal;869;84,9;92,9;211,2;
Karlstad;1780;Värmlands län;17;Enskild;18;77,8;~100;227,8;
Katrineholm;0483;Södermanlands län;04;Samtliga;422;73,0;81,0;195,7;
Katrineholm;0483;Södermanlands län;04;Kommunal;422;73,0;81,0;195,7;
Kil;1715;Värmlands län;17;Samtliga;139;82,7;92,8;210,1;
Kil;1715;Värmlands län;17;Kommunal;139;82,7;92,8;210,1;
Kinda;0513;Östergötlands län;05;Samtliga;147;82,3;89,8;202,9;
Kinda;0513;Östergötlands län;05;Kommunal;147;82,3;89,8;202,9;
Kiruna;2584;Norrbottens län;25;Samtliga;315;78,1;89,5;212,3;
Kiruna;2584;Norrbottens län;25;Kommunal;296;76,7;88,9;208,9;
Kiruna;2584;Norrbottens län;25;Enskild;19;100,0;100,0;263,4;
Klippan;1276;Skåne län;12;Samtliga;214;75,7;87,9;204,2;
Klippan;1276;Skåne län;12;Kommunal;214;75,7;87,9;204,2;
Knivsta;0330;Uppsala län;03;Samtliga;192;81,3;87,5;206,4;
Knivsta;0330;Uppsala län;03;Kommunal;175;81,7;88,0;206,9;
Knivsta;0330;Uppsala län;03;Enskild;17;76,5;~100;201,5;
Kramfors;2282;Västernorrlands län;22;Samtliga;211;69,7;85,3;195,8;
Kramfors;2282;Västernorrlands län;22;Kommunal;211;69,7;85,3;195,8;
Kristianstad;1290;Skåne län;12;Samtliga;958;71,3;84,4;200,6;
Kristianstad;1290;Skåne län;12;Kommunal;892;70,6;84,0;200,3;
Kristianstad;1290;Skåne län;12;Enskild;66;80,3;90,9;204,6;
Kristinehamn;1781;Värmlands län;17;Samtliga;262;77,1;88,9;201,4;
Kristinehamn;1781;Värmlands län;17;Kommunal;262;77,1;88,9;201,4;
Krokom;2309;Jämtlands län;23;Samtliga;204;76,0;86,3;196,9;
Krokom;2309;Jämtlands län;23;Kommunal;204;76,0;86,3;196,9;
Kumla;1881;Örebro län;18;Samtliga;270;73,7;86,3;204,4;
Kumla;1881;Örebro län;18;Kommunal;270;73,7;86,3;204,4;
Kungsbacka;1384;Hallands län;13;Samtliga;1 132;89,0;95,9;225,2;
Kungsbacka;1384;Hallands län;13;Kommunal;994;88,2;95,4;222,1;
Kungsbacka;1384;Hallands län;13;Enskild;138;94,9;100,0;247,3;
Kungsör;1960;Västmanlands län;19;Samtliga;97;66,0;89,7;193,6;
Kungsör;1960;Västmanlands län;19;Kommunal;97;66,0;89,7;193,6;
Kungälv;1482;Västra Götalands län;14;Samtliga;593;81,9;91,0;209,3;
Kungälv;1482;Västra Götalands län;14;Kommunal;512;80,1;90,2;207,7;
Kungälv;1482;Västra Götalands län;14;Enskild;81;98,2;~100;224,2;
Kävlinge;1261;Skåne län;12;Samtliga;345;79,7;94,2;215,6;
Kävlinge;1261;Skåne län;12;Kommunal;314;79,9;94,3;214,5;
Kävlinge;1261;Skåne län;12;Enskild;31;77,4;~100;227,1;
Köping;1983;Västmanlands län;19;Samtliga;307;74,6;89,3;205,6;
Köping;1983;Västmanlands län;19;Kommunal;307;74,6;89,3;205,6;
Laholm;1381;Hallands län;13;Samtliga;287;75,3;84,3;203,3;
Laholm;1381;Hallands län;13;Kommunal;287;75,3;84,3;203,3;
Landskrona;1282;Skåne län;12;Samtliga;443;66,8;84,0;198,0;
Landskrona;1282;Skåne län;12;Kommunal;375;66,1;84,0;193,5;
Landskrona;1282;Skåne län;12;Enskild;68;70,6;83,8;223,0;
Laxå;1860;Örebro län;18;Samtliga;67;76,1;89,6;186,0;
Laxå;1860;Örebro län;18;Kommunal;67;76,1;89,6;186,0;
Lekeberg;1814;Örebro län;18;Samtliga;69;62,3;85,5;199,5;
Lekeberg;1814;Örebro län;18;Kommunal;69;62,3;85,5;199,5;
Leksand;2029;Dalarnas län;20;Samtliga;170;83,5;91,2;216,0;
Leksand;2029;Dalarnas län;20;Kommunal;165;83,0;90,9;214,5;
Leksand;2029;Dalarnas län;20;Enskild;..;..;..;..;
Lerum;1441;Västra Götalands län;14;Samtliga;576;77,4;91,7;211,3;
Lerum;1441;Västra Götalands län;14;Kommunal;545;77,4;91,7;211,3;
Lerum;1441;Västra Götalands län;14;Enskild;31;.;.;.;
Lessebo;0761;Kronobergs län;07;Samtliga;106;73,6;84,0;182,3;
Lessebo;0761;Kronobergs län;07;Kommunal;106;73,6;84,0;182,3;
Lidingö;0186;Stockholms län;01;Samtliga;500;89,2;97,0;244,3;
Lidingö;0186;Stockholms län;01;Kommunal;458;88,4;96,7;242,1;
Lidingö;0186;Stockholms län;01;Enskild;42;97,6;100,0;269,2;
Lidköping;1494;Västra Götalands län;14;Samtliga;508;77,4;89,6;206,0;
Lidköping;1494;Västra Götalands län;14;Kommunal;492;77,0;89,4;205,7;
Lidköping;1494;Västra Götalands län;14;Enskild;16;87,5;~100;215,6;
Lilla Edet;1462;Västra Götalands län;14;Samtliga;145;62,1;84,1;186,7;
Lilla Edet;1462;Västra Götalands län;14;Kommunal;145;62,1;84,1;186,7;
Lindesberg;1885;Örebro län;18;Samtliga;332;68,4;79,8;187,8;
Lindesberg;1885;Örebro län;18;Kommunal;332;68,4;79,8;187,8;
Linköping;0580;Östergötlands län;05;Samtliga;1 735;77,6;89,7;210,4;
Linköping;0580;Östergötlands län;05;Kommunal;1 389;76,0;88,6;206,1;
Linköping;0580;Östergötlands län;05;Enskild;346;84,5;94,4;228,5;
Ljungby;0781;Kronobergs län;07;Samtliga;356;70,2;90,4;205,0;
Ljungby;0781;Kronobergs län;07;Kommunal;356;70,2;90,4;205,0;
Ljusdal;2161;Gävleborgs län;21;Samtliga;200;74,0;83,5;204,6;
Ljusdal;2161;Gävleborgs län;21;Kommunal;146;67,1;79,5;195,3;
Ljusdal;2161;Gävleborgs län;21;Enskild;54;92,6;~100;229,9;
Ljusnarsberg;1864;Örebro län;18;Samtliga;63;85,7;~100;198,4;
Ljusnarsberg;1864;Örebro län;18;Kommunal;63;85,7;~100;198,4;
Lomma;1262;Skåne län;12;Samtliga;314;91,7;97,2;239,3;
Lomma;1262;Skåne län;12;Kommunal;288;91,7;97,2;239,3;
Lomma;1262;Skåne län;12;Enskild;26;.;.;.;
Ludvika;2085;Dalarnas län;20;Samtliga;313;76,4;86,3;187,8;
Ludvika;2085;Dalarnas län;20;Kommunal;313;76,4;86,3;187,8;
Luleå;2580;Norrbottens län;25;Samtliga;854;81,7;91,1;215,5;
Luleå;2580;Norrbottens län;25;Kommunal;721;80,9;90,3;212,9;
Luleå;2580;Norrbottens län;25;Enskild;133;86,5;95,5;230,2;
Lund;1281;Skåne län;12;Samtliga;1 233;88,9;94,5;236,2;
Lund;1281;Skåne län;12;Kommunal;1 061;88,7;94,2;234,7;
Lund;1281;Skåne län;12;Enskild;172;90,8;~100;248,3;
Lycksele;2481;Västerbottens län;24;Samtliga;143;76,9;87,4;198,0;
Lycksele;2481;Västerbottens län;24;Kommunal;143;76,9;87,4;198,0;
Lysekil;1484;Västra Götalands län;14;Samtliga;187;80,2;93,6;209,1;
Lysekil;1484;Västra Götalands län;14;Kommunal;187;80,2;93,6;209,1;
Malmö;1280;Skåne län;12;Samtliga;2 843;63,0;78,6;198,6;
Malmö;1280;Skåne län;12;Kommunal;2 470;60,1;76,6;193,7;
Malmö;1280;Skåne län;12;Enskild;373;82,3;92,5;230,4;
Malung-Sälen;2023;Dalarnas län;20;Samtliga;121;88,4;93,4;209,0;
Malung-Sälen;2023;Dalarnas län;20;Kommunal;121;88,4;93,4;209,0;
Malå;2418;Västerbottens län;24;Samtliga;50;86,0;~100;213,2;
Malå;2418;Västerbottens län;24;Kommunal;50;86,0;~100;213,2;
Mariestad;1493;Västra Götalands län;14;Samtliga;293;77,8;87,7;208,9;
Mariestad;1493;Västra Götalands län;14;Kommunal;293;77,8;87,7;208,9;
Mark;1463;Västra Götalands län;14;Samtliga;466;76,6;89,5;201,0;
Mark;1463;Västra Götalands län;14;Kommunal;430;77,9;90,5;201,9;
Mark;1463;Västra Götalands län;14;Enskild;36;61,1;77,8;190,1;
Markaryd;0767;Kronobergs län;07;Samtliga;121;68,6;86,8;191,0;
Markaryd;0767;Kronobergs län;07;Kommunal;121;68,6;86,8;191,0;
Mellerud;1461;Västra Götalands län;14;Samtliga;109;65,1;83,5;193,4;
Mellerud;1461;Västra Götalands län;14;Kommunal;109;65,1;83,5;193,4;
Mjölby;0586;Östergötlands län;05;Samtliga;341;76,0;90,6;198,6;
Mjölby;0586;Östergötlands län;05;Kommunal;341;76,0;90,6;198,6;
Mora;2062;Dalarnas län;20;Samtliga;251;75,3;80,1;204,7;
Mora;2062;Dalarnas län;20;Kommunal;251;75,3;80,1;204,7;
Motala;0583;Östergötlands län;05;Samtliga;552;73,7;84,8;201,9;
Motala;0583;Östergötlands län;05;Kommunal;490;72,7;84,3;201,2;
Motala;0583;Östergötlands län;05;Enskild;62;82,3;88,7;207,0;
