Statistik från Skolverket, http://www.skolverket.se

Grundskolan - Slutbetyg årskurs 9, samtliga elever
Valt läsår: 2010/11

Kommun;Kommun-kod;Län;Läns-kod;Typ av huvudman;Antal elever;Andel (%) som uppnått kunskapskraven i alla ämnen;Andel (%) behörig yrkesprog.;Genomsnittligt meritvärde (16);
Falkenberg;1382;Hallands län;13;Samtliga;524;79,0;88,9;200,2;
Falkenberg;1382;Hallands län;13;Kommunal;524;79,0;88,9;200,2;
Falköping;1499;Västra Götalands län;14;Samtliga;386;74,1;82,1;199,2;
Falköping;1499;Västra Götalands län;14;Kommunal;383;74,2;82,2;199,7;
Falköping;1499;Västra Götalands län;14;Enskild;..;..;..;..;
Falun;2080;Dalarnas län;20;Samtliga;683;84,9;90,2;212,1;
Falun;2080;Dalarnas län;20;Kommunal;607;85,5;90,3;211,3;
Falun;2080;Dalarnas län;20;Enskild;76;80,3;89,5;218,7;
Filipstad;1782;Värmlands län;17;Samtliga;86;79,1;84,9;203,3;
Filipstad;1782;Värmlands län;17;Kommunal;86;79,1;84,9;203,3;
Finspång;0562;Östergötlands län;05;Samtliga;224;67,9;82,6;187,3;
Finspång;0562;Östergötlands län;05;Kommunal;224;67,9;82,6;187,3;
Flen;0482;Södermanlands län;04;Samtliga;191;64,4;80,6;187,2;
Flen;0482;Södermanlands län;04;Kommunal;179;65,9;79,9;190,0;
Flen;0482;Södermanlands län;04;Enskild;12;..;~100;146,3;
Forshaga;1763;Värmlands län;17;Samtliga;143;79,7;91,6;200,9;
Forshaga;1763;Värmlands län;17;Kommunal;143;79,7;91,6;200,9;
Färgelanda;1439;Västra Götalands län;14;Samtliga;80;60,0;83,8;180,6;
Färgelanda;1439;Västra Götalands län;14;Kommunal;80;60,0;83,8;180,6;
Gagnef;2026;Dalarnas län;20;Samtliga;111;79,3;93,7;196,9;
Gagnef;2026;Dalarnas län;20;Kommunal;111;79,3;93,7;196,9;
Gislaved;0662;Jönköpings län;06;Samtliga;374;76,2;85,0;203,4;
Gislaved;0662;Jönköpings län;06;Kommunal;368;75,8;84,8;202,9;
Gislaved;0662;Jönköpings län;06;Enskild;..;..;..;..;
Gnesta;0461;Södermanlands län;04;Samtliga;132;70,5;91,7;204,6;
Gnesta;0461;Södermanlands län;04;Kommunal;131;71,0;92,4;204,9;
Gnesta;0461;Södermanlands län;04;Enskild;..;.;.;..;
Gnosjö;0617;Jönköpings län;06;Samtliga;133;69,9;80,5;202,0;
Gnosjö;0617;Jönköpings län;06;Kommunal;133;69,9;80,5;202,0;
Gotland;0980;Gotlands län;09;Samtliga;661;80,8;88,8;210,3;
Gotland;0980;Gotlands län;09;Kommunal;566;80,4;88,2;209,7;
Gotland;0980;Gotlands län;09;Enskild;95;83,5;92,9;214,3;
Grums;1764;Värmlands län;17;Samtliga;110;71,8;88,2;191,8;
Grums;1764;Värmlands län;17;Kommunal;110;71,8;88,2;191,8;
Grästorp;1444;Västra Götalands län;14;Samtliga;95;75,8;88,4;200,9;
Grästorp;1444;Västra Götalands län;14;Kommunal;95;75,8;88,4;200,9;
Gullspång;1447;Västra Götalands län;14;Samtliga;72;58,3;75,0;184,7;
Gullspång;1447;Västra Götalands län;14;Kommunal;72;58,3;75,0;184,7;
Gällivare;2523;Norrbottens län;25;Samtliga;199;82,4;91,5;219,6;
Gällivare;2523;Norrbottens län;25;Kommunal;180;80,6;90,6;217,4;
Gällivare;2523;Norrbottens län;25;Enskild;19;100,0;100,0;239,7;
Gävle;2180;Gävleborgs län;21;Samtliga;1 025;73,7;88,1;205,3;
Gävle;2180;Gävleborgs län;21;Kommunal;778;71,3;86,2;198,2;
Gävle;2180;Gävleborgs län;21;Enskild;247;81,0;93,9;226,9;
Göteborg;1480;Västra Götalands län;14;Samtliga;4 756;73,4;85,0;212,3;
Göteborg;1480;Västra Götalands län;14;Kommunal;3 562;70,0;82,3;204,9;
Göteborg;1480;Västra Götalands län;14;Enskild;1 194;84,4;93,4;236,0;
Götene;1471;Västra Götalands län;14;Samtliga;161;82,6;87,6;204,3;
Götene;1471;Västra Götalands län;14;Kommunal;161;82,6;87,6;204,3;
Habo;0643;Jönköpings län;06;Samtliga;137;75,2;84,7;204,0;
Habo;0643;Jönköpings län;06;Kommunal;137;75,2;84,7;204,0;
Hagfors;1783;Värmlands län;17;Samtliga;149;83,9;92,6;209,4;
Hagfors;1783;Värmlands län;17;Kommunal;149;83,9;92,6;209,4;
Hallsberg;1861;Örebro län;18;Samtliga;207;65,7;78,7;194,2;
Hallsberg;1861;Örebro län;18;Kommunal;207;65,7;78,7;194,2;
Hallstahammar;1961;Västmanlands län;19;Samtliga;222;70,3;84,7;206,3;
Hallstahammar;1961;Västmanlands län;19;Kommunal;222;70,3;84,7;206,3;
Halmstad;1380;Hallands län;13;Samtliga;1 042;82,8;90,9;208,8;
Halmstad;1380;Hallands län;13;Kommunal;976;81,9;90,4;207,7;
Halmstad;1380;Hallands län;13;Enskild;66;97,0;~100;224,5;
Hammarö;1761;Värmlands län;17;Samtliga;204;93,6;97,1;224,1;
Hammarö;1761;Värmlands län;17;Kommunal;204;93,6;97,1;224,1;
Haninge;0136;Stockholms län;01;Samtliga;859;70,5;83,7;204,3;
Haninge;0136;Stockholms län;01;Kommunal;733;69,2;81,7;201,5;
Haninge;0136;Stockholms län;01;Enskild;126;78,6;95,2;220,0;
Haparanda;2583;Norrbottens län;25;Samtliga;126;79,4;86,5;200,6;
Haparanda;2583;Norrbottens län;25;Kommunal;126;79,4;86,5;200,6;
Heby;0331;Uppsala län;03;Samtliga;178;63,5;84,3;189,2;
Heby;0331;Uppsala län;03;Kommunal;178;63,5;84,3;189,2;
Hedemora;2083;Dalarnas län;20;Samtliga;214;73,2;81,3;192,8;
Hedemora;2083;Dalarnas län;20;Kommunal;182;73,6;81,9;193,5;
Hedemora;2083;Dalarnas län;20;Enskild;32;70,4;77,8;188,1;
Helsingborg;1283;Skåne län;12;Samtliga;1 459;75,7;86,7;212,8;
Helsingborg;1283;Skåne län;12;Kommunal;1 041;72,6;84,7;208,9;
Helsingborg;1283;Skåne län;12;Enskild;418;83,3;91,6;222,4;
Herrljunga;1466;Västra Götalands län;14;Samtliga;129;83,7;94,6;216,5;
Herrljunga;1466;Västra Götalands län;14;Kommunal;129;83,7;94,6;216,5;
Hjo;1497;Västra Götalands län;14;Samtliga;111;73,9;88,3;200,4;
Hjo;1497;Västra Götalands län;14;Kommunal;111;73,9;88,3;200,4;
Hofors;2104;Gävleborgs län;21;Samtliga;115;70,4;81,7;190,3;
Hofors;2104;Gävleborgs län;21;Kommunal;115;70,4;81,7;190,3;
Huddinge;0126;Stockholms län;01;Samtliga;1 138;78,5;89,1;211,1;
Huddinge;0126;Stockholms län;01;Kommunal;1 039;77,8;88,6;209,5;
Huddinge;0126;Stockholms län;01;Enskild;99;85,9;93,9;227,0;
Hudiksvall;2184;Gävleborgs län;21;Samtliga;420;72,5;81,4;198,8;
Hudiksvall;2184;Gävleborgs län;21;Kommunal;415;72,5;81,4;198,8;
Hudiksvall;2184;Gävleborgs län;21;Enskild;..;.;.;.;
Hultsfred;0860;Kalmar län;08;Samtliga;178;73,6;86,0;201,9;
Hultsfred;0860;Kalmar län;08;Kommunal;130;75,4;85,4;202,5;
Hultsfred;0860;Kalmar län;08;Enskild;48;68,8;87,5;200,5;
Hylte;1315;Hallands län;13;Samtliga;156;71,2;84,6;200,6;
Hylte;1315;Hallands län;13;Kommunal;149;70,5;83,9;198,8;
Hylte;1315;Hallands län;13;Enskild;..;..;..;..;
Håbo;0305;Uppsala län;03;Samtliga;260;80,8;93,8;215,8;
Håbo;0305;Uppsala län;03;Kommunal;228;78,1;93,0;209,8;
Håbo;0305;Uppsala län;03;Enskild;32;100,0;100,0;258,6;
Hällefors;1863;Örebro län;18;Samtliga;91;68,1;75,8;193,7;
Hällefors;1863;Örebro län;18;Kommunal;91;68,1;75,8;193,7;
Härjedalen;2361;Jämtlands län;23;Samtliga;129;71,3;82,2;197,4;
Härjedalen;2361;Jämtlands län;23;Kommunal;129;71,3;82,2;197,4;
Härnösand;2280;Västernorrlands län;22;Samtliga;267;82,0;92,1;207,8;
Härnösand;2280;Västernorrlands län;22;Kommunal;264;82,6;92,4;208,6;
Härnösand;2280;Västernorrlands län;22;Enskild;..;..;..;..;
Härryda;1401;Västra Götalands län;14;Samtliga;430;88,8;94,2;220,3;
Härryda;1401;Västra Götalands län;14;Kommunal;408;89,0;94,4;220,3;
Härryda;1401;Västra Götalands län;14;Enskild;22;86,4;~100;220,2;
Hässleholm;1293;Skåne län;12;Samtliga;618;71,4;83,7;195,3;
Hässleholm;1293;Skåne län;12;Kommunal;618;71,4;83,7;195,3;
Höganäs;1284;Skåne län;12;Samtliga;297;86,5;90,9;222,9;
Höganäs;1284;Skåne län;12;Kommunal;265;86,4;90,6;222,9;
Höganäs;1284;Skåne län;12;Enskild;32;87,5;~100;222,7;
Högsby;0821;Kalmar län;08;Samtliga;84;71,4;85,7;208,7;
Högsby;0821;Kalmar län;08;Kommunal;84;71,4;85,7;208,7;
Hörby;1266;Skåne län;12;Samtliga;187;71,7;86,6;202,5;
Hörby;1266;Skåne län;12;Kommunal;185;72,4;86,5;203,3;
Hörby;1266;Skåne län;12;Enskild;..;.;..;..;
Höör;1267;Skåne län;12;Samtliga;183;73,8;91,3;222,3;
Höör;1267;Skåne län;12;Kommunal;160;81,9;90,0;219,9;
Höör;1267;Skåne län;12;Enskild;23;..;100,0;238,5;
Jokkmokk;2510;Norrbottens län;25;Samtliga;62;71,0;80,6;192,4;
Jokkmokk;2510;Norrbottens län;25;Kommunal;49;63,3;75,5;185,6;
Jokkmokk;2510;Norrbottens län;25;Enskild;13;100,0;100,0;217,3;
Järfälla;0123;Stockholms län;01;Samtliga;806;76,6;86,4;216,5;
Järfälla;0123;Stockholms län;01;Kommunal;622;73,3;83,4;210,8;
Järfälla;0123;Stockholms län;01;Enskild;184;87,5;96,2;235,5;
Jönköping;0680;Jönköpings län;06;Samtliga;1 510;78,6;87,5;208,8;
Jönköping;0680;Jönköpings län;06;Kommunal;1 258;77,0;86,1;205,8;
Jönköping;0680;Jönköpings län;06;Enskild;252;86,5;94,4;224,0;
Kalix;2514;Norrbottens län;25;Samtliga;187;70,6;82,9;197,8;
Kalix;2514;Norrbottens län;25;Kommunal;151;70,2;83,4;196,0;
Kalix;2514;Norrbottens län;25;Enskild;36;72,2;80,6;205,4;
Kalmar;0880;Kalmar län;08;Samtliga;681;86,3;92,7;210,5;
Kalmar;0880;Kalmar län;08;Kommunal;588;85,0;92,2;206,7;
Kalmar;0880;Kalmar län;08;Enskild;93;97,1;~100;243,2;
Karlsborg;1446;Västra Götalands län;14;Samtliga;69;91,3;~100;200,7;
Karlsborg;1446;Västra Götalands län;14;Kommunal;69;91,3;~100;200,7;
Karlshamn;1082;Blekinge län;10;Samtliga;370;72,7;84,6;204,3;
Karlshamn;1082;Blekinge län;10;Kommunal;359;72,4;84,4;203,9;
Karlshamn;1082;Blekinge län;10;Enskild;11;..;~100;218,6;
Karlskoga;1883;Örebro län;18;Samtliga;321;75,7;82,9;201,4;
Karlskoga;1883;Örebro län;18;Kommunal;321;75,7;82,9;201,4;
Karlskrona;1080;Blekinge län;10;Samtliga;730;76,6;87,4;205,1;
Karlskrona;1080;Blekinge län;10;Kommunal;554;73,6;85,2;200,4;
Karlskrona;1080;Blekinge län;10;Enskild;176;85,8;94,3;219,8;
Karlstad;1780;Värmlands län;17;Samtliga;897;84,8;90,9;213,3;
Karlstad;1780;Värmlands län;17;Kommunal;840;84,0;90,5;211,2;
Karlstad;1780;Värmlands län;17;Enskild;57;96,5;~100;243,9;
Katrineholm;0483;Södermanlands län;04;Samtliga;372;68,0;77,7;196,2;
Katrineholm;0483;Södermanlands län;04;Kommunal;372;68,0;77,7;196,2;
Kil;1715;Värmlands län;17;Samtliga;151;82,1;91,4;210,4;
Kil;1715;Värmlands län;17;Kommunal;151;82,1;91,4;210,4;
Kinda;0513;Östergötlands län;05;Samtliga;119;83,2;~100;208,4;
Kinda;0513;Östergötlands län;05;Kommunal;119;83,2;~100;208,4;
Kiruna;2584;Norrbottens län;25;Samtliga;270;81,9;87,8;212,8;
Kiruna;2584;Norrbottens län;25;Kommunal;249;80,3;86,7;210,0;
Kiruna;2584;Norrbottens län;25;Enskild;21;100,0;100,0;245,5;
Klippan;1276;Skåne län;12;Samtliga;173;79,8;87,3;206,7;
Klippan;1276;Skåne län;12;Kommunal;173;79,8;87,3;206,7;
Knivsta;0330;Uppsala län;03;Samtliga;188;83,0;91,0;218,4;
Knivsta;0330;Uppsala län;03;Kommunal;166;81,9;91,0;216,4;
Knivsta;0330;Uppsala län;03;Enskild;22;90,9;~100;233,6;
Kramfors;2282;Västernorrlands län;22;Samtliga;196;75,5;88,8;206,6;
Kramfors;2282;Västernorrlands län;22;Kommunal;196;75,5;88,8;206,6;
Kristianstad;1290;Skåne län;12;Samtliga;933;73,3;86,0;204,0;
Kristianstad;1290;Skåne län;12;Kommunal;855;72,5;85,5;203,1;
Kristianstad;1290;Skåne län;12;Enskild;78;82,1;91,0;214,2;
Kristinehamn;1781;Värmlands län;17;Samtliga;267;80,1;86,5;203,7;
Kristinehamn;1781;Värmlands län;17;Kommunal;267;80,1;86,5;203,7;
Krokom;2309;Jämtlands län;23;Samtliga;170;82,9;92,4;206,3;
Krokom;2309;Jämtlands län;23;Kommunal;170;82,9;92,4;206,3;
Kumla;1881;Örebro län;18;Samtliga;280;75,7;85,0;199,8;
Kumla;1881;Örebro län;18;Kommunal;280;75,7;85,0;199,8;
Kungsbacka;1384;Hallands län;13;Samtliga;1 028;88,3;95,1;222,9;
Kungsbacka;1384;Hallands län;13;Kommunal;903;87,4;94,8;221,5;
Kungsbacka;1384;Hallands län;13;Enskild;125;95,2;~100;233,0;
Kungsör;1960;Västmanlands län;19;Samtliga;87;77,0;90,8;207,2;
Kungsör;1960;Västmanlands län;19;Kommunal;87;77,0;90,8;207,2;
Kungälv;1482;Västra Götalands län;14;Samtliga;547;80,0;88,2;213,8;
Kungälv;1482;Västra Götalands län;14;Kommunal;443;77,2;86,5;211,2;
Kungälv;1482;Västra Götalands län;14;Enskild;104;98,5;100,0;230,6;
Kävlinge;1261;Skåne län;12;Samtliga;279;80,3;92,5;212,7;
Kävlinge;1261;Skåne län;12;Kommunal;234;80,8;91,9;212,2;
Kävlinge;1261;Skåne län;12;Enskild;45;77,8;~100;215,0;
Köping;1983;Västmanlands län;19;Samtliga;286;72,4;88,8;205,4;
Köping;1983;Västmanlands län;19;Kommunal;286;72,4;88,8;205,4;
Laholm;1381;Hallands län;13;Samtliga;272;82,4;89,7;202,7;
Laholm;1381;Hallands län;13;Kommunal;272;82,4;89,7;202,7;
Landskrona;1282;Skåne län;12;Samtliga;431;69,6;83,3;197,5;
Landskrona;1282;Skåne län;12;Kommunal;346;65,0;80,1;189,7;
Landskrona;1282;Skåne län;12;Enskild;85;88,2;~100;229,0;
Laxå;1860;Örebro län;18;Samtliga;69;82,6;89,9;187,0;
Laxå;1860;Örebro län;18;Kommunal;69;82,6;89,9;187,0;
Lekeberg;1814;Örebro län;18;Samtliga;77;79,2;90,9;200,4;
Lekeberg;1814;Örebro län;18;Kommunal;77;79,2;90,9;200,4;
Leksand;2029;Dalarnas län;20;Samtliga;181;83,4;88,4;219,7;
Leksand;2029;Dalarnas län;20;Kommunal;177;83,1;88,1;219,1;
Leksand;2029;Dalarnas län;20;Enskild;..;..;..;..;
Lerum;1441;Västra Götalands län;14;Samtliga;545;86,7;95,6;218,7;
Lerum;1441;Västra Götalands län;14;Kommunal;517;86,7;95,6;218,7;
Lerum;1441;Västra Götalands län;14;Enskild;28;.;.;.;
Lessebo;0761;Kronobergs län;07;Samtliga;92;64,1;79,3;180,7;
Lessebo;0761;Kronobergs län;07;Kommunal;92;64,1;79,3;180,7;
Lidingö;0186;Stockholms län;01;Samtliga;501;88,8;94,8;244,3;
Lidingö;0186;Stockholms län;01;Kommunal;461;87,9;94,4;241,4;
Lidingö;0186;Stockholms län;01;Enskild;40;100,0;100,0;276,0;
Lidköping;1494;Västra Götalands län;14;Samtliga;463;81,6;87,9;211,0;
Lidköping;1494;Västra Götalands län;14;Kommunal;445;81,3;87,6;210,3;
Lidköping;1494;Västra Götalands län;14;Enskild;18;88,9;~100;227,8;
Lilla Edet;1462;Västra Götalands län;14;Samtliga;114;65,8;82,5;199,1;
Lilla Edet;1462;Västra Götalands län;14;Kommunal;114;65,8;82,5;199,1;
Lindesberg;1885;Örebro län;18;Samtliga;259;70,3;78,8;190,6;
Lindesberg;1885;Örebro län;18;Kommunal;259;70,3;78,8;190,6;
Linköping;0580;Östergötlands län;05;Samtliga;1 673;78,1;88,2;212,5;
Linköping;0580;Östergötlands län;05;Kommunal;1 302;76,6;86,9;208,7;
Linköping;0580;Östergötlands län;05;Enskild;371;84,0;93,4;226,9;
Ljungby;0781;Kronobergs län;07;Samtliga;322;82,3;94,4;213,6;
Ljungby;0781;Kronobergs län;07;Kommunal;322;82,3;94,4;213,6;
Ljusdal;2161;Gävleborgs län;21;Samtliga;192;74,5;87,0;207,9;
Ljusdal;2161;Gävleborgs län;21;Kommunal;138;71,0;84,1;200,2;
Ljusdal;2161;Gävleborgs län;21;Enskild;54;83,3;~100;227,6;
Ljusnarsberg;1864;Örebro län;18;Samtliga;58;65,5;77,6;185,5;
Ljusnarsberg;1864;Örebro län;18;Kommunal;58;65,5;77,6;185,5;
Lomma;1262;Skåne län;12;Samtliga;318;90,6;95,3;243,6;
Lomma;1262;Skåne län;12;Kommunal;295;90,5;94,9;241,9;
Lomma;1262;Skåne län;12;Enskild;23;91,3;100,0;265,2;
Ludvika;2085;Dalarnas län;20;Samtliga;306;72,9;82,7;187,7;
Ludvika;2085;Dalarnas län;20;Kommunal;306;72,9;82,7;187,7;
Luleå;2580;Norrbottens län;25;Samtliga;760;82,5;90,9;216,7;
Luleå;2580;Norrbottens län;25;Kommunal;667;81,1;90,3;215,0;
Luleå;2580;Norrbottens län;25;Enskild;93;92,5;~100;228,8;
Lund;1281;Skåne län;12;Samtliga;1 188;85,2;92,8;233,8;
Lund;1281;Skåne län;12;Kommunal;1 005;84,7;92,8;231,7;
Lund;1281;Skåne län;12;Enskild;183;89,0;92,4;248,7;
Lycksele;2481;Västerbottens län;24;Samtliga;129;87,6;93,8;217,2;
Lycksele;2481;Västerbottens län;24;Kommunal;129;87,6;93,8;217,2;
Lysekil;1484;Västra Götalands län;14;Samtliga;164;81,7;90,9;212,8;
Lysekil;1484;Västra Götalands län;14;Kommunal;164;81,7;90,9;212,8;
Malmö;1280;Skåne län;12;Samtliga;2 790;64,5;79,2;203,5;
Malmö;1280;Skåne län;12;Kommunal;2 391;62,1;77,0;197,8;
Malmö;1280;Skåne län;12;Enskild;399;78,7;92,2;237,2;
Malung-Sälen;2023;Dalarnas län;20;Samtliga;120;90,0;95,8;212,8;
Malung-Sälen;2023;Dalarnas län;20;Kommunal;120;90,0;95,8;212,8;
Malå;2418;Västerbottens län;24;Samtliga;48;91,7;~100;223,2;
Malå;2418;Västerbottens län;24;Kommunal;48;91,7;~100;223,2;
Mariestad;1493;Västra Götalands län;14;Samtliga;264;76,5;87,9;209,2;
Mariestad;1493;Västra Götalands län;14;Kommunal;222;73,0;86,0;204,6;
Mariestad;1493;Västra Götalands län;14;Enskild;42;95,2;~100;233,5;
Mark;1463;Västra Götalands län;14;Samtliga;448;73,7;88,2;199,2;
Mark;1463;Västra Götalands län;14;Kommunal;425;74,4;89,2;200,3;
Mark;1463;Västra Götalands län;14;Enskild;23;60,9;69,6;179,1;
Markaryd;0767;Kronobergs län;07;Samtliga;115;73,0;84,3;193,8;
Markaryd;0767;Kronobergs län;07;Kommunal;115;73,0;84,3;193,8;
Mellerud;1461;Västra Götalands län;14;Samtliga;125;56,8;77,6;181,3;
Mellerud;1461;Västra Götalands län;14;Kommunal;125;56,8;77,6;181,3;
Mjölby;0586;Östergötlands län;05;Samtliga;306;74,2;87,6;199,1;
Mjölby;0586;Östergötlands län;05;Kommunal;306;74,2;87,6;199,1;
