Statistik från Skolverket, http://www.skolverket.se

Grundskolan - Slutbetyg årskurs 9, samtliga elever
Valt läsår: 2015/16

;;;;;Inklusive okänd bakgrund;Inklusive okänd bakgrund;Inklusive okänd bakgrund;Inklusive okänd bakgrund;Exklusive okänd bakgrund;Exklusive okänd bakgrund;Exklusive okänd bakgrund;
Kommun;Kommun-kod;Län;Läns-kod;Typ av huvudman;Antal elever;Andel (%) som uppnått kunskapskraven i alla ämnen;Andel (%) behörig yrkesprog.;Genomsnittligt meritvärde (17);Andel (%) som uppnått kunskapskraven i alla ämnen;Andel (%) behörig yrkesprog.;Genomsnittligt meritvärde (17);
Kristinehamn;1781;Värmlands län;17;Samtliga;254;68,5;74,4;211,1;76,3;82,9;219,0;
Kristinehamn;1781;Värmlands län;17;Kommunal;254;68,5;74,4;211,1;76,3;82,9;219,0;
Krokom;2309;Jämtlands län;23;Samtliga;165;69,7;71,5;200,8;78,8;80,8;214,7;
Krokom;2309;Jämtlands län;23;Kommunal;165;69,7;71,5;200,8;78,8;80,8;214,7;
Kumla;1881;Örebro län;18;Samtliga;283;64,3;74,2;204,4;69,5;80,3;212,3;
Kumla;1881;Örebro län;18;Kommunal;283;64,3;74,2;204,4;69,5;80,3;212,3;
Kungsbacka;1384;Hallands län;13;Samtliga;976;85,0;90,2;239,6;88,2;93,5;242,8;
Kungsbacka;1384;Hallands län;13;Kommunal;870;83,7;89,2;237,1;87,2;92,9;240,6;
Kungsbacka;1384;Hallands län;13;Enskild;106;96,2;~100;259,8;96,2;~100;259,8;
Kungsör;1960;Västmanlands län;19;Samtliga;95;68,4;80,0;203,2;72,2;84,4;211,0;
Kungsör;1960;Västmanlands län;19;Kommunal;95;68,4;80,0;203,2;72,2;84,4;211,0;
Kungälv;1482;Västra Götalands län;14;Samtliga;462;78,8;88,1;224,9;82,2;91,9;230,5;
Kungälv;1482;Västra Götalands län;14;Kommunal;380;76,1;86,3;220,5;80,1;90,9;227,2;
Kungälv;1482;Västra Götalands län;14;Enskild;82;91,5;~100;245,0;91,5;~100;245,0;
Kävlinge;1261;Skåne län;12;Samtliga;342;85,7;93,9;241,1;85,7;93,9;241,1;
Kävlinge;1261;Skåne län;12;Kommunal;285;84,2;93,3;239,1;84,2;93,3;239,1;
Kävlinge;1261;Skåne län;12;Enskild;57;93,0;~100;251,2;93,0;~100;251,2;
Köping;1983;Västmanlands län;19;Samtliga;297;68,4;83,5;208,8;70,5;86,1;210,2;
Köping;1983;Västmanlands län;19;Kommunal;297;68,4;83,5;208,8;70,5;86,1;210,2;
Laholm;1381;Hallands län;13;Samtliga;277;69,3;82,3;204,8;73,0;86,7;210,9;
Laholm;1381;Hallands län;13;Kommunal;277;69,3;82,3;204,8;73,0;86,7;210,9;
Landskrona;1282;Skåne län;12;Samtliga;497;71,4;80,7;227,2;75,5;85,1;230,3;
Landskrona;1282;Skåne län;12;Kommunal;370;73,0;81,1;227,0;74,8;82,8;229,8;
Landskrona;1282;Skåne län;12;Enskild;127;66,9;79,5;227,9;78,0;92,7;231,8;
Laxå;1860;Örebro län;18;Samtliga;82;46,3;53,7;147,3;77,6;85,7;212,0;
Laxå;1860;Örebro län;18;Kommunal;82;46,3;53,7;147,3;77,6;85,7;212,0;
Lekeberg;1814;Örebro län;18;Samtliga;59;78,0;81,4;201,5;82,1;85,7;211,5;
Lekeberg;1814;Örebro län;18;Kommunal;59;78,0;81,4;201,5;82,1;85,7;211,5;
Leksand;2029;Dalarnas län;20;Samtliga;161;87,0;90,1;225,5;87,0;90,1;225,5;
Leksand;2029;Dalarnas län;20;Kommunal;154;86,4;89,6;224,5;86,4;89,6;224,5;
Leksand;2029;Dalarnas län;20;Enskild;..;..;..;..;..;..;..;
Lerum;1441;Västra Götalands län;14;Samtliga;477;78,6;87,8;227,1;80,0;89,3;229,7;
Lerum;1441;Västra Götalands län;14;Kommunal;451;77,4;87,1;224,7;78,8;88,7;227,3;
Lerum;1441;Västra Götalands län;14;Enskild;26;100,0;100,0;269,3;100,0;100,0;269,3;
Lessebo;0761;Kronobergs län;07;Samtliga;88;52,3;61,4;169,3;52,3;61,4;169,3;
Lessebo;0761;Kronobergs län;07;Kommunal;88;52,3;61,4;169,3;52,3;61,4;169,3;
Lidingö;0186;Stockholms län;01;Samtliga;498;94,0;96,6;268,7;94,5;97,2;269,6;
Lidingö;0186;Stockholms län;01;Kommunal;392;94,1;97,4;267,3;94,9;98,2;268,5;
Lidingö;0186;Stockholms län;01;Enskild;106;93,4;93,4;273,9;93,4;93,4;273,9;
Lidköping;1494;Västra Götalands län;14;Samtliga;452;74,1;83,8;214,2;78,6;89,0;222,9;
Lidköping;1494;Västra Götalands län;14;Kommunal;417;72,7;82,7;211,7;77,5;88,2;221,1;
Lidköping;1494;Västra Götalands län;14;Enskild;35;91,4;~100;243,0;91,4;~100;243,0;
Lilla Edet;1462;Västra Götalands län;14;Samtliga;140;51,4;65,7;203,2;62,8;80,5;206,6;
Lilla Edet;1462;Västra Götalands län;14;Kommunal;126;49,2;63,5;198,4;62,0;80,0;202,6;
Lilla Edet;1462;Västra Götalands län;14;Enskild;14;71,4;~100;237,9;..;~100;236,3;
Lindesberg;1885;Örebro län;18;Samtliga;254;66,1;74,8;199,3;66,1;74,8;199,3;
Lindesberg;1885;Örebro län;18;Kommunal;254;66,1;74,8;199,3;66,1;74,8;199,3;
Linköping;0580;Östergötlands län;05;Samtliga;1 573;77,0;84,7;226,3;78,9;86,8;229,8;
Linköping;0580;Östergötlands län;05;Kommunal;1 127;73,8;81,0;219,4;76,4;83,8;224,2;
Linköping;0580;Östergötlands län;05;Enskild;446;85,0;93,9;243,6;85,0;93,9;243,6;
Ljungby;0781;Kronobergs län;07;Samtliga;275;72,7;84,4;220,9;76,3;88,5;225,2;
Ljungby;0781;Kronobergs län;07;Kommunal;262;71,4;83,6;219,9;75,1;88,0;224,3;
Ljungby;0781;Kronobergs län;07;Enskild;13;100,0;100,0;241,7;100,0;100,0;241,7;
Ljusdal;2161;Gävleborgs län;21;Samtliga;216;63,4;76,9;203,3;69,5;84,3;213,4;
Ljusdal;2161;Gävleborgs län;21;Kommunal;164;61,6;72,6;197,4;69,7;82,1;210,5;
Ljusdal;2161;Gävleborgs län;21;Enskild;52;69,2;90,4;221,3;69,2;90,4;221,3;
Ljusnarsberg;1864;Örebro län;18;Samtliga;48;68,8;85,4;186,1;68,8;85,4;186,1;
Ljusnarsberg;1864;Örebro län;18;Kommunal;48;68,8;85,4;186,1;68,8;85,4;186,1;
Lomma;1262;Skåne län;12;Samtliga;286;91,6;96,5;261,6;91,9;96,8;262,5;
Lomma;1262;Skåne län;12;Kommunal;268;91,4;96,6;259,6;91,8;97,0;260,5;
Lomma;1262;Skåne län;12;Enskild;18;94,4;~100;293,8;94,4;~100;293,8;
Ludvika;2085;Dalarnas län;20;Samtliga;295;61,4;76,9;193,5;67,0;83,7;201,7;
Ludvika;2085;Dalarnas län;20;Kommunal;295;61,4;76,9;193,5;67,0;83,7;201,7;
Luleå;2580;Norrbottens län;25;Samtliga;776;79,4;86,5;226,0;83,4;90,9;230,4;
Luleå;2580;Norrbottens län;25;Kommunal;629;76,5;83,6;222,2;81,4;89,0;227,7;
Luleå;2580;Norrbottens län;25;Enskild;147;91,8;~100;241,5;91,8;~100;241,5;
Lund;1281;Skåne län;12;Samtliga;1 229;86,2;91,6;250,0;89,7;95,3;254,8;
Lund;1281;Skåne län;12;Kommunal;1 029;84,2;90,4;246,8;88,3;94,8;252,5;
Lund;1281;Skåne län;12;Enskild;200;96,5;97,5;265,8;96,5;97,5;265,8;
Lycksele;2481;Västerbottens län;24;Samtliga;126;82,5;88,1;219,5;83,9;88,7;221,8;
Lycksele;2481;Västerbottens län;24;Kommunal;126;82,5;88,1;219,5;83,9;88,7;221,8;
Lysekil;1484;Västra Götalands län;14;Samtliga;137;73,7;85,4;224,6;78,3;90,7;226,3;
Lysekil;1484;Västra Götalands län;14;Kommunal;137;73,7;85,4;224,6;78,3;90,7;226,3;
Malmö;1280;Skåne län;12;Samtliga;2 746;67,0;77,7;226,2;69,9;81,2;228,4;
Malmö;1280;Skåne län;12;Kommunal;2 297;63,5;74,8;220,5;66,9;78,8;223,1;
Malmö;1280;Skåne län;12;Enskild;449;84,9;92,4;254,2;84,8;92,4;254,1;
Malung-Sälen;2023;Dalarnas län;20;Samtliga;129;70,5;73,6;222,6;84,3;88,0;224,5;
Malung-Sälen;2023;Dalarnas län;20;Kommunal;129;70,5;73,6;222,6;84,3;88,0;224,5;
Malå;2418;Västerbottens län;24;Samtliga;40;75,0;87,5;207,8;75,0;87,5;207,8;
Malå;2418;Västerbottens län;24;Kommunal;40;75,0;87,5;207,8;75,0;87,5;207,8;
Mariestad;1493;Västra Götalands län;14;Samtliga;235;70,6;85,5;213,8;74,1;89,7;222,4;
Mariestad;1493;Västra Götalands län;14;Kommunal;178;62,4;82,0;205,3;66,5;87,4;216,2;
Mariestad;1493;Västra Götalands län;14;Enskild;57;96,5;~100;240,4;96,5;~100;240,4;
Mark;1463;Västra Götalands län;14;Samtliga;404;77,5;86,1;222,5;79,0;87,9;225,1;
Mark;1463;Västra Götalands län;14;Kommunal;385;77,7;86,2;222,9;79,3;88,1;225,7;
Mark;1463;Västra Götalands län;14;Enskild;19;73,7;~100;213,4;73,7;~100;213,4;
Markaryd;0767;Kronobergs län;07;Samtliga;127;70,9;74,0;211,6;81,1;84,7;216,9;
Markaryd;0767;Kronobergs län;07;Kommunal;127;70,9;74,0;211,6;81,1;84,7;216,9;
Mellerud;1461;Västra Götalands län;14;Samtliga;97;61,9;74,2;195,8;63,8;75,5;198,0;
Mellerud;1461;Västra Götalands län;14;Kommunal;97;61,9;74,2;195,8;63,8;75,5;198,0;
Mjölby;0586;Östergötlands län;05;Samtliga;280;76,1;85,4;219,1;77,5;86,9;220,5;
Mjölby;0586;Östergötlands län;05;Kommunal;280;76,1;85,4;219,1;77,5;86,9;220,5;
Mora;2062;Dalarnas län;20;Samtliga;227;59,0;66,5;199,5;67,5;76,1;203,4;
Mora;2062;Dalarnas län;20;Kommunal;227;59,0;66,5;199,5;67,5;76,1;203,4;
Motala;0583;Östergötlands län;05;Samtliga;462;80,5;89,0;222,7;81,0;89,5;223,7;
Motala;0583;Östergötlands län;05;Kommunal;370;80,3;88,4;221,2;80,9;89,1;222,4;
Motala;0583;Östergötlands län;05;Enskild;92;81,5;91,3;228,7;81,5;91,3;228,7;
Mullsjö;0642;Jönköpings län;06;Samtliga;67;76,1;80,6;207,6;77,3;80,3;208,5;
Mullsjö;0642;Jönköpings län;06;Kommunal;67;76,1;80,6;207,6;77,3;80,3;208,5;
Munkedal;1430;Västra Götalands län;14;Samtliga;123;56,1;69,1;179,5;63,9;78,7;200,4;
Munkedal;1430;Västra Götalands län;14;Kommunal;123;56,1;69,1;179,5;63,9;78,7;200,4;
Munkfors;1762;Värmlands län;17;Samtliga;40;85,0;~100;223,6;85,0;~100;223,6;
Munkfors;1762;Värmlands län;17;Kommunal;40;85,0;~100;223,6;85,0;~100;223,6;
Mölndal;1481;Västra Götalands län;14;Samtliga;650;80,2;86,2;233,2;82,4;88,4;236,2;
Mölndal;1481;Västra Götalands län;14;Kommunal;578;79,4;85,5;232,5;82,0;88,0;235,9;
Mölndal;1481;Västra Götalands län;14;Enskild;72;86,1;91,7;238,7;86,1;91,7;238,7;
Mönsterås;0861;Kalmar län;08;Samtliga;131;67,9;79,4;193,6;68,5;80,0;194,8;
Mönsterås;0861;Kalmar län;08;Kommunal;131;67,9;79,4;193,6;68,5;80,0;194,8;
Mörbylånga;0840;Kalmar län;08;Samtliga;173;75,7;83,2;212,9;86,2;94,7;217,9;
Mörbylånga;0840;Kalmar län;08;Kommunal;121;67,8;76,0;203,1;82,0;92,0;210,3;
Mörbylånga;0840;Kalmar län;08;Enskild;52;94,2;100,0;232,5;94,2;100,0;232,5;
Nacka;0182;Stockholms län;01;Samtliga;1 255;91,0;95,6;264,3;91,9;96,5;266,4;
Nacka;0182;Stockholms län;01;Kommunal;850;90,7;95,9;263,5;91,3;96,4;264,6;
Nacka;0182;Stockholms län;01;Enskild;405;91,6;95,1;266,0;93,2;96,7;270,4;
Nora;1884;Örebro län;18;Samtliga;114;82,5;91,2;219,0;82,5;91,2;219,0;
Nora;1884;Örebro län;18;Kommunal;114;82,5;91,2;219,0;82,5;91,2;219,0;
Norberg;1962;Västmanlands län;19;Samtliga;71;57,7;73,2;194,6;60,6;77,3;202,8;
Norberg;1962;Västmanlands län;19;Kommunal;71;57,7;73,2;194,6;60,6;77,3;202,8;
Nordanstig;2132;Gävleborgs län;21;Samtliga;95;53,7;72,6;172,0;56,0;75,8;177,7;
Nordanstig;2132;Gävleborgs län;21;Kommunal;87;52,9;72,4;170,1;55,4;75,9;176,3;
Nordanstig;2132;Gävleborgs län;21;Enskild;..;..;..;..;..;..;..;
Nordmaling;2401;Västerbottens län;24;Samtliga;74;71,6;~100;219,6;72,6;~100;220,3;
Nordmaling;2401;Västerbottens län;24;Kommunal;74;71,6;~100;219,6;72,6;~100;220,3;
Norrköping;0581;Östergötlands län;05;Samtliga;1 547;71,3;80,9;212,5;73,0;82,8;216,3;
Norrköping;0581;Östergötlands län;05;Kommunal;1 122;65,3;76,5;203,0;67,5;79,0;208,0;
Norrköping;0581;Östergötlands län;05;Enskild;425;87,1;92,5;237,3;87,1;92,5;237,3;
Norrtälje;0188;Stockholms län;01;Samtliga;573;75,9;87,1;225,6;77,0;88,3;227,6;
Norrtälje;0188;Stockholms län;01;Kommunal;481;73,0;85,9;220,4;74,2;87,3;222,8;
Norrtälje;0188;Stockholms län;01;Enskild;92;91,3;93,5;252,0;91,3;93,5;252,0;
Norsjö;2417;Västerbottens län;24;Samtliga;45;82,2;~100;228,5;82,2;~100;228,5;
Norsjö;2417;Västerbottens län;24;Kommunal;45;82,2;~100;228,5;82,2;~100;228,5;
Nybro;0881;Kalmar län;08;Samtliga;234;71,8;81,2;220,4;75,7;85,6;226,8;
Nybro;0881;Kalmar län;08;Kommunal;234;71,8;81,2;220,4;75,7;85,6;226,8;
Nykvarn;0140;Stockholms län;01;Samtliga;135;95,6;~100;242,4;95,6;~100;242,4;
Nykvarn;0140;Stockholms län;01;Kommunal;135;95,6;~100;242,4;95,6;~100;242,4;
Nyköping;0480;Södermanlands län;04;Samtliga;682;67,6;77,9;204,3;74,2;85,5;217,5;
Nyköping;0480;Södermanlands län;04;Kommunal;494;61,1;71,7;193,0;69,7;81,7;210,7;
Nyköping;0480;Södermanlands län;04;Enskild;188;84,6;94,1;232,8;84,6;94,1;232,8;
Nynäshamn;0192;Stockholms län;01;Samtliga;232;78,4;87,5;224,7;78,4;87,5;224,7;
Nynäshamn;0192;Stockholms län;01;Kommunal;232;78,4;87,5;224,7;78,4;87,5;224,7;
Nässjö;0682;Jönköpings län;06;Samtliga;368;65,8;76,1;212,0;70,1;81,2;216,1;
Nässjö;0682;Jönköpings län;06;Kommunal;368;65,8;76,1;212,0;70,1;81,2;216,1;
Ockelbo;2101;Gävleborgs län;21;Samtliga;44;84,1;~100;233,8;84,1;~100;233,8;
Ockelbo;2101;Gävleborgs län;21;Kommunal;44;84,1;~100;233,8;84,1;~100;233,8;
Olofström;1060;Blekinge län;10;Samtliga;134;83,6;88,8;221,6;83,6;88,8;221,6;
Olofström;1060;Blekinge län;10;Kommunal;134;83,6;88,8;221,6;83,6;88,8;221,6;
Orsa;2034;Dalarnas län;20;Samtliga;79;72,2;83,5;217,8;75,0;86,8;224,5;
Orsa;2034;Dalarnas län;20;Kommunal;79;72,2;83,5;217,8;75,0;86,8;224,5;
Orust;1421;Västra Götalands län;14;Samtliga;170;76,5;86,5;214,3;80,2;90,7;220,0;
Orust;1421;Västra Götalands län;14;Kommunal;164;75,6;86,0;212,4;79,5;90,4;218,3;
Orust;1421;Västra Götalands län;14;Enskild;..;..;..;..;..;..;..;
Osby;1273;Skåne län;12;Samtliga;128;82,8;89,1;226,5;84,1;90,5;229,6;
Osby;1273;Skåne län;12;Kommunal;128;82,8;89,1;226,5;84,1;90,5;229,6;
Oskarshamn;0882;Kalmar län;08;Samtliga;271;74,5;82,7;217,6;77,1;85,1;222,9;
Oskarshamn;0882;Kalmar län;08;Kommunal;271;74,5;82,7;217,6;77,1;85,1;222,9;
Ovanåker;2121;Gävleborgs län;21;Samtliga;135;78,5;83,0;207,8;83,5;88,2;212,9;
Ovanåker;2121;Gävleborgs län;21;Kommunal;135;78,5;83,0;207,8;83,5;88,2;212,9;
Oxelösund;0481;Södermanlands län;04;Samtliga;82;68,3;78,0;196,4;71,4;81,8;203,0;
Oxelösund;0481;Södermanlands län;04;Kommunal;82;68,3;78,0;196,4;71,4;81,8;203,0;
Pajala;2521;Norrbottens län;25;Samtliga;69;75,4;81,2;223,5;75,4;81,2;223,5;
Pajala;2521;Norrbottens län;25;Kommunal;67;74,6;80,6;223,5;74,6;80,6;223,5;
Pajala;2521;Norrbottens län;25;Enskild;..;..;..;..;..;..;..;
Partille;1402;Västra Götalands län;14;Samtliga;489;76,7;82,6;231,2;82,4;88,8;238,5;
Partille;1402;Västra Götalands län;14;Kommunal;471;76,4;82,6;230,5;82,4;89,0;238,0;
Partille;1402;Västra Götalands län;14;Enskild;18;83,3;~100;249,9;83,3;~100;249,9;
Perstorp;1275;Skåne län;12;Samtliga;101;48,5;72,3;196,2;52,7;78,5;205,8;
Perstorp;1275;Skåne län;12;Kommunal;101;48,5;72,3;196,2;52,7;78,5;205,8;
Piteå;2581;Norrbottens län;25;Samtliga;503;85,9;92,4;226,7;88,9;95,7;233,5;
Piteå;2581;Norrbottens län;25;Kommunal;503;85,9;92,4;226,7;88,9;95,7;233,5;
Ragunda;2303;Jämtlands län;23;Samtliga;48;64,6;77,1;209,3;70,5;84,1;212,4;
Ragunda;2303;Jämtlands län;23;Kommunal;48;64,6;77,1;209,3;70,5;84,1;212,4;
Robertsfors;2409;Västerbottens län;24;Samtliga;61;72,1;83,6;219,4;75,9;87,9;222,9;
Robertsfors;2409;Västerbottens län;24;Kommunal;61;72,1;83,6;219,4;75,9;87,9;222,9;
Ronneby;1081;Blekinge län;10;Samtliga;296;66,2;77,0;210,2;69,3;80,6;211,8;
Ronneby;1081;Blekinge län;10;Kommunal;253;65,2;76,3;208,0;68,2;79,8;209,8;
Ronneby;1081;Blekinge län;10;Enskild;43;72,1;81,4;223,3;75,6;85,4;223,3;
Rättvik;2031;Dalarnas län;20;Samtliga;93;92,5;~100;226,2;92,5;~100;226,2;
Rättvik;2031;Dalarnas län;20;Kommunal;93;92,5;~100;226,2;92,5;~100;226,2;
Sala;1981;Västmanlands län;19;Samtliga;213;77,0;86,9;223,8;77,4;86,8;223,9;
Sala;1981;Västmanlands län;19;Kommunal;213;77,0;86,9;223,8;77,4;86,8;223,9;
Salem;0128;Stockholms län;01;Samtliga;161;79,5;86,3;240,0;79,5;86,3;240,0;
Salem;0128;Stockholms län;01;Kommunal;136;80,9;88,2;242,6;80,9;88,2;242,6;
Salem;0128;Stockholms län;01;Enskild;25;72,0;76,0;226,4;72,0;76,0;226,4;
Sandviken;2181;Gävleborgs län;21;Samtliga;430;67,9;79,3;202,9;70,3;82,1;207,9;
Sandviken;2181;Gävleborgs län;21;Kommunal;383;66,1;77,8;200,5;68,8;81,0;206,2;
Sandviken;2181;Gävleborgs län;21;Enskild;47;83,0;~100;221,7;82,6;~100;221,7;
Sigtuna;0191;Stockholms län;01;Samtliga;528;75,6;82,6;229,5;77,0;84,2;231,3;
Sigtuna;0191;Stockholms län;01;Kommunal;368;73,6;79,3;217,3;75,1;81,0;219,5;
Sigtuna;0191;Stockholms län;01;Enskild;160;80,0;90,0;257,0;81,3;91,6;258,3;
Simrishamn;1291;Skåne län;12;Samtliga;186;70,4;78,5;231,1;80,4;89,6;239,7;
Simrishamn;1291;Skåne län;12;Kommunal;139;70,5;77,0;235,2;83,1;90,7;243,6;
Simrishamn;1291;Skåne län;12;Enskild;47;70,2;83,0;220,3;73,3;86,7;229,2;
Sjöbo;1265;Skåne län;12;Samtliga;180;71,1;80,6;219,7;78,5;89,0;222,9;
Sjöbo;1265;Skåne län;12;Kommunal;172;72,1;82,0;222,2;80,0;91,0;225,6;
Sjöbo;1265;Skåne län;12;Enskild;..;..;..;..;..;..;..;
Skara;1495;Västra Götalands län;14;Samtliga;177;87,0;92,7;234,8;87,4;93,1;235,3;
Skara;1495;Västra Götalands län;14;Kommunal;152;88,2;92,1;234,4;88,7;92,7;235,2;
Skara;1495;Västra Götalands län;14;Enskild;25;80,0;~100;237,4;79,2;~100;236,4;
Skellefteå;2482;Västerbottens län;24;Samtliga;801;74,4;82,4;214,3;79,3;87,8;221,0;
Skellefteå;2482;Västerbottens län;24;Kommunal;777;74,0;82,1;213,7;79,0;87,6;220,6;
Skellefteå;2482;Västerbottens län;24;Enskild;24;87,5;~100;234,8;87,5;~100;234,8;
Skinnskatteberg;1904;Västmanlands län;19;Samtliga;52;30,8;42,3;165,4;48,5;66,7;179,0;
Skinnskatteberg;1904;Västmanlands län;19;Kommunal;52;30,8;42,3;165,4;48,5;66,7;179,0;
Skurup;1264;Skåne län;12;Samtliga;177;84,2;91,5;226,3;85,1;92,0;226,9;
Skurup;1264;Skåne län;12;Kommunal;177;84,2;91,5;226,3;85,1;92,0;226,9;
Skövde;1496;Västra Götalands län;14;Samtliga;568;72,5;82,4;214,8;77,2;87,6;219,3;
Skövde;1496;Västra Götalands län;14;Kommunal;563;73,0;82,6;215,7;77,7;87,9;220,2;
Skövde;1496;Västra Götalands län;14;Enskild;..;..;..;..;..;..;..;
Smedjebacken;2061;Dalarnas län;20;Samtliga;98;57,1;59,2;162,7;81,2;84,1;210,0;
Smedjebacken;2061;Dalarnas län;20;Kommunal;98;57,1;59,2;162,7;81,2;84,1;210,0;
Sollefteå;2283;Västernorrlands län;22;Samtliga;224;67,0;74,1;193,6;76,1;84,3;208,7;
Sollefteå;2283;Västernorrlands län;22;Kommunal;224;67,0;74,1;193,6;76,1;84,3;208,7;
Sollentuna;0163;Stockholms län;01;Samtliga;910;85,7;90,0;255,2;88,8;93,3;257,4;
Sollentuna;0163;Stockholms län;01;Kommunal;729;83,4;88,2;253,0;87,2;92,2;255,8;
Sollentuna;0163;Stockholms län;01;Enskild;181;95,0;97,2;263,4;95,0;97,2;263,4;
Solna;0184;Stockholms län;01;Samtliga;392;75,3;83,7;232,8;76,3;84,9;235,5;
Solna;0184;Stockholms län;01;Kommunal;275;74,2;84,7;231,1;75,7;86,5;235,0;
Solna;0184;Stockholms län;01;Enskild;117;77,8;81,2;236,6;77,8;81,2;236,6;
Sorsele;2422;Västerbottens län;24;Samtliga;50;50,0;58,0;174,0;59,5;69,0;181,7;
Sorsele;2422;Västerbottens län;24;Kommunal;50;50,0;58,0;174,0;59,5;69,0;181,7;
Sotenäs;1427;Västra Götalands län;14;Samtliga;97;75,3;84,5;205,4;81,1;91,1;218,1;
Sotenäs;1427;Västra Götalands län;14;Kommunal;97;75,3;84,5;205,4;81,1;91,1;218,1;
Staffanstorp;1230;Skåne län;12;Samtliga;287;81,2;87,1;233,4;83,8;89,9;237,7;
Staffanstorp;1230;Skåne län;12;Kommunal;267;83,1;87,6;233,9;86,0;90,7;238,6;
Staffanstorp;1230;Skåne län;12;Enskild;20;55,0;~100;226,4;55,0;~100;226,4;
Stenungsund;1415;Västra Götalands län;14;Samtliga;317;77,0;87,7;219,0;78,6;89,3;222,4;
Stenungsund;1415;Västra Götalands län;14;Kommunal;298;76,5;87,6;217,8;78,3;89,3;221,3;
Stenungsund;1415;Västra Götalands län;14;Enskild;19;84,2;~100;237,5;84,2;~100;237,5;
Stockholm;0180;Stockholms län;01;Samtliga;9 052;77,2;85,5;244,7;81,3;90,0;251,3;
Stockholm;0180;Stockholms län;01;Kommunal;5 937;74,4;82,4;239,4;80,2;88,7;248,6;
Stockholm;0180;Stockholms län;01;Enskild;3 115;82,8;91,7;254,9;83,3;92,4;256,3;
Storfors;1760;Värmlands län;17;Samtliga;55;67,3;81,8;221,2;68,5;83,3;222,5;
Storfors;1760;Värmlands län;17;Kommunal;44;72,7;77,3;220,6;74,4;79,1;222,2;
Storfors;1760;Värmlands län;17;Enskild;11;..;100,0;223,6;..;100,0;223,6;
Storuman;2421;Västerbottens län;24;Samtliga;76;67,1;72,4;212,5;81,0;87,3;215,4;
Storuman;2421;Västerbottens län;24;Kommunal;76;67,1;72,4;212,5;81,0;87,3;215,4;
Strängnäs;0486;Södermanlands län;04;Samtliga;391;70,6;80,6;224,4;75,6;86,3;226,2;
Strängnäs;0486;Södermanlands län;04;Kommunal;224;57,6;68,8;201,5;64,8;77,4;204,5;
Strängnäs;0486;Södermanlands län;04;Enskild;167;88,0;96,4;251,6;88,6;97,0;251,7;
Strömstad;1486;Västra Götalands län;14;Samtliga;136;60,3;76,5;208,8;60,3;76,5;208,8;
Strömstad;1486;Västra Götalands län;14;Kommunal;136;60,3;76,5;208,8;60,3;76,5;208,8;
Strömsund;2313;Jämtlands län;23;Samtliga;134;59,0;67,2;185,3;68,7;78,3;205,8;
Strömsund;2313;Jämtlands län;23;Kommunal;134;59,0;67,2;185,3;68,7;78,3;205,8;
Sundbyberg;0183;Stockholms län;01;Samtliga;273;70,0;80,2;223,8;74,9;85,9;231,3;
Sundbyberg;0183;Stockholms län;01;Kommunal;147;55,8;69,4;203,4;63,6;79,1;216,9;
Sundbyberg;0183;Stockholms län;01;Enskild;126;86,5;92,9;245,6;86,5;92,9;245,6;
Sundsvall;2281;Västernorrlands län;22;Samtliga;996;72,3;80,4;215,0;74,9;83,2;220,4;
Sundsvall;2281;Västernorrlands län;22;Kommunal;660;63,0;72,7;195,9;66,6;76,6;203,5;
Sundsvall;2281;Västernorrlands län;22;Enskild;336;90,5;95,5;251,4;90,5;95,5;251,4;
Sunne;1766;Värmlands län;17;Samtliga;150;67,3;76,0;209,0;75,9;85,7;209,0;
Sunne;1766;Värmlands län;17;Kommunal;150;67,3;76,0;209,0;75,9;85,7;209,0;
Surahammar;1907;Västmanlands län;19;Samtliga;107;72,0;85,0;209,3;72,0;85,0;209,3;
Surahammar;1907;Västmanlands län;19;Kommunal;107;72,0;85,0;209,3;72,0;85,0;209,3;
Svalöv;1214;Skåne län;12;Samtliga;152;69,1;86,2;210,0;69,1;86,2;210,0;
Svalöv;1214;Skåne län;12;Kommunal;123;73,2;87,8;216,9;73,2;87,8;216,9;
Svalöv;1214;Skåne län;12;Enskild;29;51,7;79,3;180,5;51,7;79,3;180,5;
Svedala;1263;Skåne län;12;Samtliga;235;81,7;93,2;225,3;83,1;94,8;228,9;
Svedala;1263;Skåne län;12;Kommunal;235;81,7;93,2;225,3;83,1;94,8;228,9;
Svenljunga;1465;Västra Götalands län;14;Samtliga;143;53,8;63,6;199,0;65,5;77,6;201,7;
Svenljunga;1465;Västra Götalands län;14;Kommunal;143;53,8;63,6;199,0;65,5;77,6;201,7;
Säffle;1785;Värmlands län;17;Samtliga;143;65,0;74,8;191,2;72,4;82,7;208,3;
Säffle;1785;Värmlands län;17;Kommunal;143;65,0;74,8;191,2;72,4;82,7;208,3;
Säter;2082;Dalarnas län;20;Samtliga;105;69,5;78,1;198,0;75,3;84,5;209,1;
Säter;2082;Dalarnas län;20;Kommunal;105;69,5;78,1;198,0;75,3;84,5;209,1;
Sävsjö;0684;Jönköpings län;06;Samtliga;39;84,6;~100;235,4;84,2;~100;234,3;
Sävsjö;0684;Jönköpings län;06;Kommunal;26;84,6;~100;239,0;84,0;~100;237,4;
Sävsjö;0684;Jönköpings län;06;Enskild;13;84,6;~100;228,3;84,6;~100;228,3;
